County,State,Distance
Valley County,NE,168.1095
Madison County,AL,167.85783
Todd County,KY,167.82056
Houston County,TN,167.64719
Scott County,TN,167.40547
Brown County,WI,167.3831
Miller County,MO,167.2756
Blount County,AL,167.14264
Calhoun County,WV,166.9991
Conejos County,CO,166.9848
Van Buren County,TN,166.81393
Bibb County,AL,166.80896
Koochiching County,MN,166.69276
Martin County,KY,166.18076
Taylor County,KY,166.14285
Uintah County,UT,166.10246
Coconino County,AZ,165.86324
Hamlin County,SD,165.7924
Carbon County,WY,165.25677
Camden County,MO,164.87836
Wheeler County,NE,164.84108
Phelps County,NE,164.53102
Eddy County,ND,164.52045
Adams County,WI,164.51672
Powder River County,MT,164.44713
Carroll County,TN,164.37256
Franklin County,TN,164.12837
Owsley County,KY,164.09233
Greenlee County,AZ,163.84192
Washakie County,WY,163.40572
Boyd County,NE,163.30878
Braxton County,WV,163.08694
Logan County,ND,162.95149
Kanawha County,WV,162.79491
Blaine County,MT,162.61409
Butte County,ID,162.20584
Muhlenberg County,KY,162.05112
Texas County,MO,161.69943
Montgomery County,TN,161.64723
Randolph County,MO,161.19052
Beltrami County,MN,161.18431
Major County,OK,161.1172
Benton County,TN,160.47656
Greene County,MO,160.38708
Lawrence County,KY,160.33986
Grand County,UT,160.28705
Pembina County,ND,159.9863
Laurel County,KY,159.45441
Franklin County,NE,159.41527
Carter County,MO,159.08408
Newton County,MO,158.96104
Outagamie County,WI,158.83241
Breathitt County,KY,158.82248
Casey County,KY,158.79514
Mississippi County,AR,158.68143
Magoffin County,KY,158.67583
Clay County,AR,158.59816
Fremont County,WY,158.52422
Sedgwick County,CO,158.51738
Gilmer County,WV,158.4888
Adair County,MO,158.33159
Davison County,SD,158.25143
Sevier County,UT,158.12094
Kingfisher County,OK,158.03395
Roane County,WV,157.84195
Oconto County,WI,157.76552
Bledsoe County,TN,157.74812
Macon County,MO,157.73819
Covington County,AL,157.71457
Debaca County,NM,157.37405
Dallas County,MO,157.36412
Oneida County,WI,157.29018
Rush County,KS,157.06834
Gunnison County,CO,156.75145
Wrangell City And Borough,AK,156.63818
Yuma County,CO,156.36122
Scotts Bluff County,NE,156.34445
Morgan County,TN,156.32457
Grundy County,TN,156.25311
Oklahoma County,OK,156.18661
Kittson County,MN,156.14934
